timestamp,route,selector,label,placeholder,field_type,required,predicted,score,threshold_used,confidence_signals,decision
2025-06-26T02:23:31.953251,/classify,html > body.bg-gray-100 > div.max-w-6xl.mx-auto.lg:px-8.lg:py-12.px-6.py-6:nth-of-type(1) > form.space-y-8 > input:nth-of-type(1),,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.953497,/classify,#job_applicant_job_applicant_attribution_attributes_referring_url,,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.953764,/classify,#job_applicant_first_name,First name,,text,False,first_name,0.7782,0.5,"pattern_match,pattern_canonical_match",accept
2025-06-26T02:23:31.954036,/classify,#job_applicant_middle_name,Middle name,,text,False,last_name,0.5239,0.5,"pattern_match,pattern_canonical_match",accept
2025-06-26T02:23:31.954268,/classify,#job_applicant_last_name,Last name,,text,False,last_name,0.7844,0.5,"pattern_match,pattern_canonical_match",accept
2025-06-26T02:23:31.954489,/classify,#job_applicant_email,Email,,text,False,email,1.0,0.5,"pattern_match,pattern_canonical_match",accept
2025-06-26T02:23:31.954711,/classify,#job_applicant_phone,Phone (optional),,text,False,phone,0.6151,0.5,"pattern_match,pattern_canonical_match",accept
2025-06-26T02:23:31.954941,/classify,#job_applicant_additional_information,Additional information (optional),,text,False,bio,0.1407,0.78,"ambiguous_label,generic_terms",reject
2025-06-26T02:23:31.955176,/classify,#job_applicant_resume,"Upload your resume

PDF, up to 10MB",,text,False,email,0.167,0.6,,reject
2025-06-26T02:23:31.955400,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_0_question_uuid,,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.955623,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_0_question_type,,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.955863,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_0_text,,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.956092,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_1_question_uuid,,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.956308,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_1_question_type,,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.956538,/classify,html > body.bg-gray-100 > div.max-w-6xl.mx-auto.lg:px-8.lg:py-12.px-6.py-6:nth-of-type(1) > form.space-y-8 > div.space-y-8.divide-y.divide-gray-200 > div:nth-of-type(4) > div.mt-6.grid.grid-cols-1.gap-y-8.gap-x-4.sm:grid-cols-6:nth-of-type(4) > div.sm:col-span-6 > div.mt-1 > input:nth-of-type(1),,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.956762,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_1_selected_option_uuids_cc451309-eaf2-42e9-8902-5f7a6cef25e1,Yes,,text,False,first_name,0.2278,0.65,short_label,reject
2025-06-26T02:23:31.957004,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_1_selected_option_uuids_111b1919-d028-4438-8f51-33f3430269fa,No,,text,False,veteran_status,0.3175,0.83,"ambiguous_label,short_label,generic_terms",reject
2025-06-26T02:23:31.957233,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_1_text,Add note (optional),Add note (optional),text,False,last_name,0.1543,0.6,,reject
2025-06-26T02:23:31.957453,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_2_question_uuid,,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.957665,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_2_question_type,,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.957926,/classify,html > body.bg-gray-100 > div.max-w-6xl.mx-auto.lg:px-8.lg:py-12.px-6.py-6:nth-of-type(1) > form.space-y-8 > div.space-y-8.divide-y.divide-gray-200 > div:nth-of-type(4) > div.mt-6.grid.grid-cols-1.gap-y-8.gap-x-4.sm:grid-cols-6:nth-of-type(5) > div.sm:col-span-6 > div.mt-1 > input:nth-of-type(1),,,text,False,bio,0.3876,0.75,"ambiguous_label,short_label",reject
2025-06-26T02:23:31.958154,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_2_selected_option_uuids_800f3589-3ee0-4eb6-9739-06172208dd8b,Yes,,text,False,first_name,0.2278,0.65,short_label,reject
2025-06-26T02:23:31.958369,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_2_selected_option_uuids_cd12d292-6c78-40e2-91ae-f567f56e8c4b,No,,text,False,veteran_status,0.3175,0.83,"ambiguous_label,short_label,generic_terms",reject
2025-06-26T02:23:31.958601,/classify,#job_applicant_custom_form_response_attributes_answers_attributes_2_text,Add note (optional),Add note (optional),text,False,last_name,0.1543,0.6,,reject
